"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"comida foto","1","457","0.22%","1.11","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.2046","MONITOR","P2"
"foto da comida","0","412","0%","1.8","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.2036","MONITOR","P2"
"como fazer fotos profissionais","1","113","0.88%","5.7","4-6","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.2035","CTR+TITLE/META","P2"
"foto de perfil feminino profissional","0","374","0%","1.53","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2003","MONITOR","P2"
"foto ideal para linkedin","2","77","2.6%","3.18","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1988","MONITOR","P2"
"foto formal","2","473","0.42%","3.11","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1973","MONITOR","P2"
"foto profissional advogado","1","357","0.28%","2.94","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1957","MONITOR","P2"
"fotos linkedin","2","383","0.52%","2.23","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1953","MONITOR","P2"
"fotos de dentista no consultório","2","82","2.44%","8.41","7-10","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.1953","CONTENT+INTERNAL LINK","P2"
"foto medico","3","407","0.74%","1.44","1-3","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.1948","MONITOR","P2"
"fotografo são paulo","2","191","1.05%","9.31","7-10","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0.1946","CTR+TITLE/META","P2"
"aplicativos de fazer vídeos","1","129","0.78%","7.71","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1943","CTR+TITLE/META","P2"
"foto profissional mulher","2","366","0.55%","1.19","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1935","MONITOR","P2"
"pose para foto profissional","4","419","0.95%","1.16","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1934","MONITOR","P2"
"como editar vídeos no celular grátis","2","317","0.63%","8.2","7-10","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.1914","INTERNAL LINK (blog->money)","P2"
"que tipo de foto colocar no linkedin","1","46","2.17%","3.43","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1897","MONITOR","P2"
"melhores apps para editar videos","4","497","0.8%","3.96","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1889","MONITOR","P2"
"melhores editores de vídeos para celular","1","119","0.84%","9.29","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.188","CTR+TITLE/META","P2"
"ensaio fotografico corporativo","1","45","2.22%","8.51","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1873","CTR+TITLE/META","P2"
"psicologia das cores marrom","1","177","0.56%","4.59","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.1861","INTERNAL LINK (blog->money)","P2"
"aplicativos para editar video","1","88","1.14%","4.93","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1858","CTR+TITLE/META","P2"
"ensaios corporativos femininos","2","49","4.08%","4.88","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1851","CONTENT+INTERNAL LINK","P2"
"como tirar uma boa foto","1","210","0.48%","9.48","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.1847","INTERNAL LINK (blog->money)","P2"
"fotógrafo são paulo","1","161","0.62%","11.9","11-15","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0.1847","CTR+TITLE/META","P2"
"aplicativos para edicao de videos","1","86","1.16%","4.92","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1844","CTR+TITLE/META","P2"
"foto de linkedin","2","282","0.71%","2.5","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1833","MONITOR","P2"
"fotos corporativas advogada","1","44","2.27%","6.66","7-10","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1822","CONTENT+INTERNAL LINK","P2"
"fotografia corporativa","7","1060","0.66%","15.24","16-20","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1817","CONTENT+CASE","P2"
"como sair bem nas fotos","2","167","1.2%","8.27","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1814","CTR+TITLE/META","P2"
"melhor editor de vídeo para celular gratuito","1","110","0.91%","9.4","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1814","CTR+TITLE/META","P2"
"apps para editar vídeos","1","81","1.23%","4.95","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1801","CTR+TITLE/META","P2"
"aplicativos de edicao de video","2","115","1.74%","5.26","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1796","CTR+TITLE/META","P2"
"fotos profissionais para linkedin","2","253","0.79%","2.52","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1789","MONITOR","P2"
"retratos corporativos","1","1224","0.08%","20.71","21-50","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1785","CONTENT+CASE","P2"
"imagem profissional feminina","2","248","0.81%","1.2","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1781","MONITOR","P2"
"poses para foto profissional","1","219","0.46%","1.64","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1776","MONITOR","P2"
"melhores aplicativos de edição de vídeo","2","304","0.66%","3.82","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1774","MONITOR","P2"
"aplicativos para editar fotos e vídeos","1","78","1.28%","4.32","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1772","CTR+TITLE/META","P2"
"editor video celular","1","102","0.98%","8.39","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.175","CTR+TITLE/META","P2"
"programa para editar videos no celular","1","75","1.33%","5.19","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1743","CTR+TITLE/META","P2"
"ensaio corporativo","0","397","0%","24.12","21-50","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1734","CONTENT+CASE","P2"
"poses de fotos","1","171","0.58%","6.91","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.1732","INTERNAL LINK (blog->money)","P2"
"melhores apps de edição de video","1","224","0.45%","3.89","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1728","MONITOR","P2"
"editar videos no celular","2","153","1.31%","6.16","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1724","CTR+TITLE/META","P2"
"são paulo fotos","3","200","1.5%","6.4","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1707","CTR+TITLE/META","P2"
"fotografia profissional sao paulo","2","75","2.67%","6.29","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1701","CONTENT+INTERNAL LINK","P2"
"foto feminina profissional","1","176","0.57%","1.5","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1694","MONITOR","P2"
"foto de perfil profissional feminino","1","176","0.57%","1.11","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1694","MONITOR","P2"
"ensaio fotografico masculino","1","5","0.2%","5.2","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1687","CTR+TITLE/META","P2"
"foto de perfil empresarial","1","171","0.58%","2.6","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1684","MONITOR","P2"
"como editar fotos no lightroom","1","157","0.64%","8.35","7-10","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.1677","INTERNAL LINK (blog->money)","P2"
"fotos de advocacia","1","167","0.6%","1.37","1-3","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.1674","MONITOR","P2"
"fundo para tirar foto","1","154","0.65%","7.44","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.1667","INTERNAL LINK (blog->money)","P2"
"como ficar bem nas fotos","1","93","1.08%","9.11","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1667","CTR+TITLE/META","P2"
"fotografia de retrato corporativo","1","965","0.1%","22.53","21-50","DINHEIRO","retrato-executivo","1","/fotografia-executiva","URL_PROVAVEL","0.1659","CONTENT+CASE","P2"
"fotógrafo corporativo são paulo","11","356","3.09%","1.92","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1646","MONITOR","P2"
"aplicativos de video","3","190","1.58%","7.63","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1646","CTR+TITLE/META","P2"
"ideias de foto profissional","1","154","0.65%","2.23","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1643","MONITOR","P2"
"fotos de médicos","1","150","0.67%","1.49","1-3","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.1633","MONITOR","P2"
"ensaio fotográfico feminino profissional","1","142","0.7%","1.82","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1612","MONITOR","P2"
"pose profissional","1","140","0.71%","1.76","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1607","MONITOR","P2"
"fundo profissional para fotos","2","162","1.23%","2.78","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1604","MONITOR","P2"
"fotos profissionais para redes sociais","3","120","2.5%","4.26","4-6","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.1592","CTR+TITLE/META","P2"
"fotos de advogados no escritório","1","133","0.75%","2.25","1-3","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.1586","MONITOR","P2"
"poses corporativas","1","131","0.76%","1.38","1-3","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.1581","MONITOR","P2"
"perfil sem foto","8","11767","0.07%","1.2","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1578","MONITOR","P2"
"fotografia para perfil profissional","1","174","0.57%","16.82","16-20","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1571","CONTENT+CASE","P2"
"foto empresarial feminina","1","127","0.79%","1.34","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1568","MONITOR","P2"
"fotografo para instagram","1","25","0.04%","4.36","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1565","CTR+TITLE/META","P2"
"pose foto profissional","1","100","0.01%","1.11","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1559","MONITOR","P2"
"aplicativos videos","1","59","1.69%","5.34","4-6","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1559","CTR+TITLE/META","P2"
"posição para foto","1","25","0.04%","6.32","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1559","CTR+TITLE/META","P2"
"editar vídeos","1","25","0.04%","7.84","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1559","CTR+TITLE/META","P2"
"foto com fundo","1","99","1.01%","4.53","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.1554","INTERNAL LINK (blog->money)","P2"
"sem foto de perfil","6","9933","0.06%","1.2","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.155","MONITOR","P2"
"aplicativos editor de video","1","81","1.23%","6.4","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1546","CTR+TITLE/META","P2"
"foto sem perfil","6","9261","0.06%","1.1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1538","MONITOR","P2"
"fundo foto profissional","2","139","1.44%","2.55","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1537","MONITOR","P2"
"fotos para perfil linkedin","1","116","0.86%","2.77","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1533","MONITOR","P2"
"sites de fotografos","3","25","0.12%","9.12","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1531","CTR+TITLE/META","P2"
"fotos para perfil profissional feminino","1","113","0.88%","1.7","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1523","MONITOR","P2"
"formato foto","2","126","1.59%","9.75","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1513","CTR+TITLE/META","P2"
"foto de medico","1","109","0.92%","2.44","1-3","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.1508","MONITOR","P2"
"poses para fotos corporativas","5","187","2.67%","1.7","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1507","MONITOR","P2"
"foto medico profissional","1","107","0.93%","1.22","1-3","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.1501","MONITOR","P2"
"o que é uma foto de perfil?","1","55","1.82%","5.85","4-6","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.1501","CTR+TITLE/META","P2"
"pose de foto profissional","1","105","0.95%","1.1","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1493","MONITOR","P2"
"fotografos","2","122","1.64%","8.75","7-10","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0.1477","CTR+TITLE/META","P2"
"poses para foto corporativa","1","101","0.99%","1.32","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1477","MONITOR","P2"
"aplicativos de fazer vídeo","1","75","1.33%","6.16","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1473","CTR+TITLE/META","P2"
"foto na hora","2","81","2.47%","5.88","4-6","DINHEIRO","totem-foto","0.5","/fotografo-corporativo/totem-fotografico","URL_PROVAVEL","0.1471","CTR+TITLE/META","P2"
"foto de perfil sem foto","5","6248","0.08%","1.1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.147","MONITOR","P2"
"aplicativos para editar videos no celular","1","121","0.83%","3.23","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1455","MONITOR","P2"
"look para evento corporativo masculino","2","113","1.77%","2.3","1-3","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.1443","MONITOR","P2"
"fotografo social","2","20","0.1%","6.5","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1437","CTR+TITLE/META","P2"
"poses fotos corporativas","2","110","1.82%","1.39","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1431","MONITOR","P2"
"apps de video","1","71","1.41%","6.62","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1418","CTR+TITLE/META","P2"
"pose para foto corporativa","2","105","1.9%","1.11","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.141","MONITOR","P2"
"ensaio advogada","1","37","2.7%","7.11","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.1405","CONTENT+INTERNAL LINK","P2"
"foto para empresa","1","108","0.93%","3.4","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1401","MONITOR","P2"
"fotografia são paulo","2","114","1.75%","9.4","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.14","CTR+TITLE/META","P2"
"ativa logistica sao paulo","1","4","0.25%","13.5","11-15","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.1399","CTR+TITLE/META","P2"
"fotografia social","1","105","0.95%","11.99","11-15","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1396","CTR+TITLE/META","P2"
"cores que remetem a comida","1","81","1.23%","1.32","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.1388","MONITOR","P2"
"plano de fundo profissional","1","81","1.23%","2.98","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1388","MONITOR","P2"
"foto de perfil o que significa","1","67","1.49%","6.12","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.1363","CTR+TITLE/META","P2"
"aplicativos bons para editar vídeos","3","97","3.09%","4.36","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1359","CTR+TITLE/META","P2"
"melhores aplicativos para editar videos","1","98","1.02%","3.67","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1355","MONITOR","P2"
"pose corporativa","1","73","1.37%","1.11","1-3","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.1344","MONITOR","P2"
"roupa para evento corporativo masculino","1","73","1.37%","2.45","1-3","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.1344","MONITOR","P2"
"poses de foto profissional","1","72","1.39%","1.69","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1338","MONITOR","P2"
"foto profissional para instagram","1","36","2.78%","7.22","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1333","CONTENT+INTERNAL LINK","P2"
"posição para foto profissional","1","71","1.41%","1.83","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1332","MONITOR","P2"
"posicionamento de imagem profissional","1","71","1.41%","2.72","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1332","MONITOR","P2"
"fotos profissionais femininas","12","3098","0.39%","1.1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.1329","MONITOR","P2"
"foto do linkedin","2","88","2.27%","2.84","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1326","MONITOR","P2"
"foto profissional medica","1","70","1.43%","2.21","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1326","MONITOR","P2"
"fundo para foto de perfil profissional","1","69","1.45%","2.25","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.132","MONITOR","P2"
"fotografo evento corporativo","1","29","3.45%","3.48","4-6","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.1308","MONITOR","P2"
"retrato corporativo sp","1","22","4.55%","5.32","4-6","DINHEIRO","retrato-executivo","1","/fotografia-executiva","URL_PROVAVEL","0.1306","CONTENT+INTERNAL LINK","P2"
"parque para fotos","3","15","0.2%","4.7","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1305","CTR+TITLE/META","P2"
"cores corporativas","1","66","1.52%","1.33","1-3","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.1301","MONITOR","P2"
"foto profissional medico","2","80","2.5%","1.9","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1279","MONITOR","P2"
"dress code business casual masculino","2","85","2.35%","3.78","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.1276","MONITOR","P2"
"lugares em sao paulo para fotografar","1","94","1.06%","10.44","11-15","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1267","CTR+TITLE/META","P2"
"foto profissional escritorio","1","59","1.69%","1.49","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1254","MONITOR","P2"
"exemplo de foto profissional","2","75","2.67%","1.25","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1247","MONITOR","P2"
"foto de perfil sem nada","0","1533","0%","1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.124","MONITOR","P2"
"fotos medico","1","57","1.75%","1.72","1-3","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.1239","MONITOR","P2"
"foto corporativa profissional","1","55","1.82%","2.93","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.1223","MONITOR","P2"
"foto do perfil","2","1426","0.14%","1.4","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1218","MONITOR","P2"
"app para editar video","22","6178","0.36%","5.88","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1208","MONITOR","P2"
"ensaio corporativo feminino advogada","1","34","2.94%","8","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.119","CONTENT+INTERNAL LINK","P3"
"editor de video mobile","2","96","2.08%","8.47","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1188","CTR+TITLE/META","P3"
"aplicativo para editar video","17","4978","0.34%","5.99","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1181","MONITOR","P3"
"dicas para tirar fotos","3","195","1.54%","10.79","11-15","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.1174","CONTENT+INTERNAL LINK","P3"
"foto profissional de mulher","1","48","2.08%","1.4","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1163","MONITOR","P3"
"quero uma foto profissional","1","26","3.85%","3.42","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1156","MONITOR","P3"
"como liberar espaço no icloud","2","3243","0.06%","7.35","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1155","MONITOR","P3"
"png","7","3743","0.19%","9.18","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1142","MONITOR","P3"
"aplicativo de vídeo","6","3450","0.17%","6.81","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1135","MONITOR","P3"
"aplicativo de editar vídeo","7","3139","0.22%","5.95","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1134","MONITOR","P3"
"prato de comida bem bonito","1","45","2.22%","1","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.1134","MONITOR","P3"
"networking ou network","2","2977","0.07%","10.16","11-15","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1126","MONITOR","P3"
"imagem sem foto de perfil","1","819","0.12%","1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.1126","MONITOR","P3"
"poses politicas","1","49","2.04%","5.22","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.1126","INTERNAL LINK (blog->money)","P3"
"dress code masculino","13","568","2.29%","2.9","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.1123","MONITOR","P3"
"melhores apps para edição de video","2","93","2.15%","3.55","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1123","MONITOR","P3"
"fundos para fotos de perfil","3","156","1.92%","8.7","7-10","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.112","INTERNAL LINK (blog->money)","P3"
"aplicativo de fazer vídeo","4","2908","0.14%","7.8","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1119","MONITOR","P3"
"apps para criar videos","1","53","1.89%","6.83","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1117","CTR+TITLE/META","P3"
"pose para foto de perfil profissional","1","43","2.33%","1.98","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1113","MONITOR","P3"
"dress code social masculino","4","339","1.18%","2.48","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.1105","MONITOR","P3"
"fotografia de evento","1","50","0.02%","27","21-50","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.1101","CONTENT+CASE","P3"
"imagem de perfil sem foto","0","651","0%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1095","MONITOR","P3"
"fotografia empresarial","2","772","0.26%","22.73","21-50","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1092","CONTENT+CASE","P3"
"foto perfil sem foto","0","623","0%","1.3","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1088","MONITOR","P3"
"jpg ou png","0","1778","0%","5.72","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1084","MONITOR","P3"
"app de video","2","2031","0.1%","7.37","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1079","MONITOR","P3"
"editor de videos para celular","1","51","1.96%","9.73","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.1077","CTR+TITLE/META","P3"
"aplicativos para edição de videos","1","57","1.75%","3.67","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.1072","MONITOR","P3"
"png ou jpg","1","1737","0.06%","6.11","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1066","MONITOR","P3"
"o que é jpg","0","1556","0%","9.52","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1065","MONITOR","P3"
"comprei armazenamento no icloud e continua cheio","1","1772","0.06%","10.8","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1058","MONITOR","P3"
"posicionamento","1","1625","0.06%","9.85","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1057","MONITOR","P3"
"fotos profissionais medica","1","38","2.63%","2.11","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.1057","MONITOR","P3"
"aplicativo para fazer vídeo","3","1916","0.16%","8.13","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1056","MONITOR","P3"
"local para ensaio fotografico","1","4","0.25%","3.5","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.1054","MONITOR","P3"
"app de edição de video","12","2957","0.41%","6.96","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1052","MONITOR","P3"
"foto sem foto de perfil","0","490","0%","1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.1047","MONITOR","P3"
"armazenamento icloud","3","1806","0.17%","7.87","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1045","MONITOR","P3"
"aplicativo para editar vídeo","8","1960","0.41%","5.17","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1042","MONITOR","P3"
"jpeg","3","1754","0.17%","8.8","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1041","MONITOR","P3"
"aplicativo para editar fotos","0","1280","0%","13.94","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1036","MONITOR","P3"
